                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2246,                 2.4684,                 1.3475,                0.82282,                 0.3981,                0.62085,                0.38621,                  1.365,                 3.2566,                 1.2921,             0.00065714,             0.00065714,             0.00065714
                      2,                 1.1701,                 1.8305,                 1.2909,                0.73704,                0.80082,                0.79216,                0.49497,                 1.2745,                 1.6438,                 1.4067,              0.0012583,              0.0012583,              0.0012583
                      3,                 1.1463,                 1.5854,                 1.2913,                0.68612,                0.82857,                0.79218,                0.52322,                 1.2022,                 1.9004,                 1.3712,              0.0017934,              0.0017934,              0.0017934
                      4,                 1.1439,                 1.4431,                 1.2779,                0.82142,                0.75714,                0.80251,                0.54438,                 1.1273,                 1.6066,                 1.2658,               0.001703,               0.001703,               0.001703
                      5,                 1.1566,                 1.3384,                  1.272,                0.89738,                0.81429,                0.87591,                 0.5997,                 1.0602,                 1.2291,                 1.2369,               0.001604,               0.001604,               0.001604
                      6,                 1.1255,                 1.2035,                  1.272,                0.85522,                0.75952,                0.82848,                 0.6204,                0.96043,                 1.2909,                 1.1712,               0.001505,               0.001505,               0.001505
                      7,                  1.093,                 1.1263,                 1.2525,                0.88284,                0.74286,                 0.8648,                0.61185,                 1.0637,                 1.0503,                 1.2467,               0.001406,               0.001406,               0.001406
                      8,                 1.0997,                 1.0411,                 1.2491,                0.95439,                0.89685,                0.90796,                0.64848,                 0.9856,                 0.8624,                 1.2461,               0.001307,               0.001307,               0.001307
                      9,                 1.0544,                0.95497,                 1.2282,                0.91272,                0.89636,                 0.8988,                0.67076,                0.96877,                0.80353,                 1.2227,               0.001208,               0.001208,               0.001208
                     10,                 1.0308,                0.98636,                 1.2214,                0.88611,                    0.9,                0.89679,                0.70006,                0.93117,                0.67009,                 1.2298,               0.001109,               0.001109,               0.001109
                     11,                0.91929,                0.84109,                   1.15,                0.85668,                0.93936,                0.91631,                0.70288,                0.87519,                0.80041,                 1.1189,                0.00101,                0.00101,                0.00101
                     12,                0.92031,                0.79138,                 1.1078,                0.95394,                0.88773,                0.93489,                0.69732,                0.90143,                0.69461,                 1.1245,               0.000911,               0.000911,               0.000911
                     13,                0.89473,                0.75638,                 1.1068,                0.93465,                0.88571,                0.93147,                0.71141,                0.89069,                0.70358,                 1.1391,               0.000812,               0.000812,               0.000812
                     14,                0.88936,                0.74106,                 1.1141,                0.91498,                0.94286,                0.89789,                0.67202,                0.94923,                0.67736,                 1.1986,               0.000713,               0.000713,               0.000713
                     15,                0.87636,                0.70995,                 1.1019,                0.95067,                0.94286,                0.92812,                 0.7035,                0.88737,                0.59738,                 1.1622,               0.000614,               0.000614,               0.000614
                     16,                0.83994,                0.63678,                 1.0727,                0.95685,                0.95714,                0.94346,                0.72361,                0.87256,                0.57525,                 1.1323,               0.000515,               0.000515,               0.000515
                     17,                0.81911,                0.61006,                 1.0664,                0.94359,                0.95583,                0.94421,                0.71746,                0.84362,                0.55677,                 1.1152,               0.000416,               0.000416,               0.000416
                     18,                 0.8074,                0.59581,                 1.0517,                0.94256,                0.93775,                0.93754,                0.71484,                0.82138,                0.55372,                 1.1063,               0.000317,               0.000317,               0.000317
                     19,                0.79464,                0.56606,                 1.0479,                0.95539,                0.97143,                 0.9604,                0.74375,                0.81162,                0.51204,                 1.0892,               0.000218,               0.000218,               0.000218
                     20,                0.77155,                0.53657,                 1.0318,                0.95768,                0.96995,                0.94941,                0.72765,                0.80349,                0.50588,                 1.0902,               0.000119,               0.000119,               0.000119
